Scenario	Replication	[StatsEaten3].NumberProcessed		[StatsEaten3].SampleAverage/1[min]		[StatsEatenQueue3].SampleAverage/1[min]		[StatsEaten3].SampleStandardDeviation/1[min]		[StatsAttempt3].NumberProcessed		[StatsAttempt3].SampleAverage/1[min]		[StatsAttempt3].SampleStandardDeviation/1[min]		[StatsEaten5].NumberProcessed		[StatsEaten5].SampleAverage/1[min]		[StatsEatenQueue5].SampleAverage/1[min]		[StatsEaten5].SampleStandardDeviation/1[min]		[StatsAttempt5].NumberProcessed		[StatsAttempt5].SampleAverage/1[min]		[StatsAttempt5].SampleStandardDeviation/1[min]		[RejectedTwice1].NumberProcessed		[RejectedTwice2].NumberProcessed		[RejectedTwice3].NumberProcessed		[RejectedTwice4].NumberProcessed		[RejectedTwice5].NumberProcessed	
1	46	1515.0		2.8889926980394156		10.238838314766666		0.7179045773195972		1525.0		10.081650987365283		6.964728896037706		999.0		2.8719481412562846		5.2564687021208005		0.7234516392387358		999.0		5.2564687021208005		3.9725630201044884		0.0		0.0		0.0		0.0		2.0	
1	47	1466.0		2.9346301839203064		7.939006320135344		0.7683087218816947		1482.0		7.895130839828263		5.50245897093151		981.0		3.033813599004662		4.876086872775789		0.8112284139784125		981.0		4.876086872775789		3.691223216224213		0.0		2.0		0.0		0.0		0.0	
1	48	1506.0		2.9053861026455636		9.583284099672504		0.9166229817198127		1525.0		9.448758751788862		7.158089258787533		1018.0		3.007019604267753		5.210361011747532		0.8927775500173206		1018.0		5.210361011747532		4.05439348583464		0.0		2.0		0.0		0.0		1.0	
1	49	1483.0		2.986019004520964		8.714323061208326		0.9430118094842531		1499.0		8.67380022485116		6.592199267416968		1001.0		2.8780285698378694		5.331322032892796		0.7833828699868376		1002.0		5.336599187489999		4.043060075528699		0.0		3.0		0.0		0.0		1.0	
1	50	1535.0		2.975094962879971		8.389300739405838		0.7950840891474288		1545.0		8.400116744465759		6.193636929167341		993.0		2.9490986343962464		5.2121140751997785		0.8356243456667888		994.0		5.215402661366958		3.8241707342161577		0.0		1.0		0.0		0.0		0.0	
1	51	1419.0		2.9543462772428453		8.609130118615555		0.8340546533235448		1443.0		8.624312401779948		6.450331704994354		999.0		2.9403445381278033		5.136884113714304		0.9784709949090126		1000.0		5.130964505812462		3.9774232880801614		0.0		7.0		0.0		0.0		1.0	
1	52	1342.0		2.9381778847133284		8.031934108092768		0.8600650218810325		1368.0		8.020315849843152		5.852209620290621		1019.0		2.84711622165591		4.865810477098203		0.7290222551761022		1020.0		4.85974128536169		3.6679471810364603		0.0		6.0		0.0		0.0		3.0	
1	53	1418.0		2.9576486283839247		7.40607022661882		0.843770634464049		1433.0		7.36445129049584		5.401781019562467		996.0		2.9856072547273356		4.406046897131895		0.8664915239996611		997.0		4.403092472906921		3.404617343262018		0.0		4.0		0.0		0.0		0.0	
1	54	1528.0		3.0026831264813776		7.624950184757117		0.8445107508347675		1541.0		7.6065473741885965		5.563366264357201		1017.0		3.053879088487577		4.569588794680983		0.9410753244829773		1017.0		4.569588794680983		3.631868310907344		0.0		0.0		0.0		0.0		2.0	
1	55	1497.0		2.9918688209823348		9.42480254023826		0.7976808112563106		1504.0		9.404948301770823		7.286240192789783		980.0		2.7803010917783904		5.271108418903909		0.7631858547955886		981.0		5.274946340931801		3.9938285024730673		0.0		0.0		0.0		0.0		2.0	
1	56	1496.0		2.924985014137384		8.557050987839663		0.8942888781391581		1519.0		8.61476641204229		6.243295111071106		1000.0		2.9625953027914766		5.198385715622843		0.7569228473084411		1004.0		5.222241516285066		4.004968269979073		0.0		2.0		0.0		0.0		2.0	
1	57	1461.0		2.9666667730381646		8.078158008193247		0.808167290021208		1479.0		8.083796743974967		5.928642313124657		999.0		3.0162854336411		5.012544117299858		0.8603966742049821		1000.0		5.012979901582113		3.7589346385874594		0.0		1.0		0.0		0.0		3.0	
1	58	1494.0		2.9830109360997015		8.062961737226795		0.9118418333116106		1507.0		8.096676866593556		5.720472651002271		988.0		3.11165998773025		5.152139997077436		0.8654802251719013		988.0		5.152139997077436		4.1578888921187085		0.0		1.0		0.0		0.0		1.0	
1	59	1423.0		2.868364195467803		6.8116234789896195		0.8570691716691299		1450.0		6.835343616320383		4.954528447653964		1003.0		2.9899087761736483		5.045268671797733		0.7494316583887143		1005.0		5.047953620394209		3.697690643084604		0.0		4.0		0.0		0.0		5.0	
